frame.number,frame.time,ip.src,ip.dst,vlan.id,eth.type,tcp.srcport,tcp.dstport
151,Jul 14, 2025 09:56:46.862476000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
152,Jul 14, 2025 09:56:46.864760000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
153,Jul 14, 2025 09:56:46.868469000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
154,Jul 14, 2025 09:56:46.871373000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
155,Jul 14, 2025 09:56:46.912611000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
156,Jul 14, 2025 09:56:46.914670000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
157,Jul 14, 2025 09:56:47.035001000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
158,Jul 14, 2025 09:56:47.038151000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
159,Jul 14, 2025 09:56:47.042661000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
160,Jul 14, 2025 09:56:47.044710000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
161,Jul 14, 2025 09:56:47.086903000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
162,Jul 14, 2025 09:56:47.088529000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
163,Jul 14, 2025 09:56:47.207824000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
164,Jul 14, 2025 09:56:47.210820000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
165,Jul 14, 2025 09:56:47.213815000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
166,Jul 14, 2025 09:56:47.215858000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
167,Jul 14, 2025 09:56:47.269357000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
