frame.number,frame.time,eth.src,eth.dst,eth.type,ip.src,ip.dst,tcp.srcport,tcp.dstport,_ws.col.protocol,_ws.col.info
"1494","Jul 14, 2025 09:49:52.430116000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=2629 Ack=2338 Win=19040 Len=12"
"1495","Jul 14, 2025 09:49:52.432944000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   273; Unit:   1, Func:   4: Read Input Registers"
"1496","Jul 14, 2025 09:49:52.435172000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=2338 Ack=2641 Win=502 Len=11"
"1497","Jul 14, 2025 09:49:52.490560000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=2641 Ack=2349 Win=19029 Len=0"
"1498","Jul 14, 2025 09:49:52.493388000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 1497#1] 64279 → 502 [ACK] Seq=2641 Ack=2349 Win=19029 Len=0"
"1499","Jul 14, 2025 09:49:52.580686000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","1.1.1.1",,,"DNS","Standard query 0x460a A chrome.cloudflare-dns.com"
"1500","Jul 14, 2025 09:49:52.581925000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","1.1.1.1",,,"DNS","Standard query 0x4a91 HTTPS chrome.cloudflare-dns.com"
"1501","Jul 14, 2025 09:49:52.586549000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.20.1,10.10.20.30","10.10.20.30,1.1.1.1",,,"ICMP","Destination unreachable (Host unreachable)"
"1502","Jul 14, 2025 09:49:52.588275000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.20.1,10.10.20.30","10.10.20.30,1.1.1.1",,,"ICMP","Destination unreachable (Host unreachable)"
"1503","Jul 14, 2025 09:49:52.601693000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   274; Unit:   1, Func:   3: Read Holding Registers"
"1504","Jul 14, 2025 09:49:52.606737000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","1.1.1.1",,,"DNS","Standard query 0x22a2 A edge.microsoft.com"
"1505","Jul 14, 2025 09:49:52.609124000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=2641 Ack=2349 Win=19029 Len=12"
"1506","Jul 14, 2025 09:49:52.612521000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.20.1,10.10.20.30","10.10.20.30,1.1.1.1",,,"ICMP","Destination unreachable (Host unreachable)"
"1507","Jul 14, 2025 09:49:52.617034000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   274; Unit:   1, Func:   3: Read Holding Registers"
"1508","Jul 14, 2025 09:49:52.619700000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=2349 Ack=2653 Win=502 Len=11"
